frame,n_comments,VP_rate,E_int_rate,E_ext_rate,Cyn_rate,median_like,median_reply
Gain,212,0.2169811320754717,0.2358490566037736,0.3584905660377358,0.19339622641509435,3.0,0.0
Loss,109,0.30275229357798167,0.3211009174311927,0.11926605504587157,0.41284403669724773,3.0,0.0
