excluded_video,n_comments,H1_p_value,H1_effect_size,H2_p_value,H2_effect_size
none,427,0.04260485297538241,0.08583907642333524,4.606676145213484e-06,-0.19511873930029414
hj50Suuh5DM,307,0.22048352539798,0.06530254612926503,0.002136731609858611,-0.1780228842387383
GLbc9in9zeY,338,0.0404209536803557,0.10107033639143728,5.036553234671892e-05,-0.2077981651376147
Ygtmbwj0sV4,311,0.010690625815098942,0.13476874003189795,6.831834393761227e-07,-0.2588892016136598
RF8I4LHej5E,325,0.4132516488331053,0.04281471704339218,0.0033176690557823463,-0.1390447120937139
